Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_Day,Date_of_Journey_Month,Date_of_Journey_Year,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Duration_Hour,Duration_Minute
3,2,2,0,0,3897.0,24,3,2019,22,20,1,10,2,50
7,3,3,1,0,7662.0,1,5,2019,5,50,13,15,7,25
10,4,4,1,0,8372.0,9,6,2019,9,25,4,25,19,0
3,3,3,2,0,6218.0,12,5,2019,18,5,23,30,5,25
3,2,2,2,0,8372.0,1,3,2019,16,50,21,35,4,45
1,3,3,0,0,3873.0,24,6,2019,9,0,11,25,2,25
10,2,2,2,1,8372.0,12,3,2019,18,55,10,25,15,30
10,2,2,2,0,8372.0,1,3,2019,8,0,5,5,21,5
10,2,2,2,1,8372.0,12,3,2019,8,55,10,25,25,30
8,4,4,2,0,8372.0,27,5,2019,11,25,19,15,7,50
7,4,4,2,0,8372.0,1,6,2019,9,45,23,0,13,15
3,3,3,0,0,4174.0,18,4,2019,20,20,22,55,2,35
7,0,0,0,0,4667.0,24,6,2019,11,40,13,55,2,15
10,3,3,2,1,8372.0,9,5,2019,21,10,9,20,12,10
3,3,3,0,0,4804.0,24,4,2019,17,15,19,50,2,35
7,4,4,1,0,8372.0,3,3,2019,16,40,19,15,26,35
1,4,4,2,0,5830.0,15,4,2019,8,45,13,15,4,30
10,4,4,2,1,8372.0,12,6,2019,14,0,12,35,22,35
7,4,4,1,0,8372.0,12,6,2019,20,15,19,15,23,0
10,4,4,2,1,8372.0,27,5,2019,16,0,12,35,20,35
4,4,4,2,0,8372.0,6,3,2019,14,10,19,20,5,10
7,2,2,2,0,6955.0,21,3,2019,22,0,13,20,15,20
3,2,2,0,0,3943.0,3,4,2019,4,0,6,50,2,50
3,2,2,0,0,4823.0,1,5,2019,18,55,21,50,2,55
10,3,3,2,1,7757.0,6,5,2019,18,55,8,15,13,20
10,4,4,1,0,8372.0,9,6,2019,21,25,12,35,15,10
3,4,4,2,0,8238.0,1,6,2019,21,50,3,35,5,45
4,4,4,2,0,7682.0,15,5,2019,7,0,12,55,5,55
5,2,2,0,0,4668.0,18,6,2019,9,45,12,35,2,50
5,0,0,0,0,3687.0,15,6,2019,7,5,9,20,2,15
5,0,0,0,0,3687.0,18,6,2019,7,5,9,20,2,15
7,3,3,1,0,8372.0,1,5,2019,9,50,23,15,13,25
3,2,2,0,0,4423.0,6,4,2019,4,0,6,50,2,50
10,4,4,1,1,8372.0,15,6,2019,14,35,12,35,22,0
10,4,4,2,1,8372.0,18,5,2019,7,5,12,35,5,30
3,4,4,2,0,5894.0,27,6,2019,10,35,21,0,10,25
1,3,3,2,0,4649.0,21,5,2019,15,5,20,20,5,15
7,3,3,0,0,6245.0,18,5,2019,14,15,16,45,2,30
10,2,2,2,0,8372.0,6,3,2019,7,0,13,15,6,15
10,4,4,2,0,8372.0,3,6,2019,7,5,19,0,11,55
8,4,4,2,0,8372.0,21,5,2019,7,5,18,10,11,5
7,2,2,2,0,8372.0,15,3,2019,6,45,15,15,8,30
10,4,4,2,1,8372.0,18,5,2019,20,55,19,0,22,5
2,2,2,0,0,3383.0,6,5,2019,11,10,13,55,2,45
8,4,4,2,0,8372.0,21,3,2019,9,0,21,0,12,0
1,2,2,0,2,3527.0,24,3,2019,5,45,8,35,2,50
3,2,2,0,0,3943.0,27,5,2019,4,0,6,50,2,50
7,0,0,0,0,4667.0,3,5,2019,11,40,13,55,2,15
7,3,3,2,0,6117.0,15,5,2019,19,0,11,5,16,5
10,4,4,1,1,8372.0,27,6,2019,23,5,19,0,19,55
10,4,4,0,1,7202.0,9,3,2019,11,0,14,15,3,15
10,3,3,2,0,8372.0,1,5,2019,9,35,10,55,25,20
3,2,2,0,0,4377.0,24,3,2019,22,20,1,10,2,50
3,2,2,0,0,3943.0,18,6,2019,21,15,0,15,3,0
2,2,2,0,0,4483.0,3,4,2019,23,55,2,45,2,50
10,3,3,2,0,8372.0,24,3,2019,19,45,12,0,16,15
7,2,2,1,0,8372.0,1,3,2019,8,50,23,55,15,5
5,0,0,0,0,7414.0,6,3,2019,7,5,9,20,2,15
8,4,4,2,0,8073.0,6,5,2019,19,0,1,30,6,30
5,1,1,2,0,8372.0,6,3,2019,15,40,16,45,25,5
7,3,3,2,0,8366.0,6,6,2019,9,25,21,50,12,25
7,4,4,2,0,5117.0,3,4,2019,6,5,9,25,27,20
8,4,4,2,0,8372.0,3,6,2019,8,45,19,0,10,15
3,4,4,2,0,7191.0,15,5,2019,15,0,1,30,10,30
5,0,0,0,0,3687.0,24,5,2019,7,5,9,20,2,15
3,4,4,2,0,5894.0,24,6,2019,10,35,21,0,10,25
5,2,2,0,0,5403.0,24,4,2019,9,45,12,35,2,50
7,1,1,0,0,3625.0,6,5,2019,13,55,15,25,1,30
7,4,4,1,0,8372.0,21,5,2019,5,55,19,15,13,20
3,0,0,0,0,6297.0,12,3,2019,13,20,15,35,2,15
10,1,1,0,0,5678.0,1,6,2019,7,5,8,30,1,25
10,2,2,2,1,8372.0,9,3,2019,5,45,8,15,26,30
8,4,4,2,1,8372.0,24,6,2019,11,40,19,0,7,20
10,4,4,1,0,8372.0,24,6,2019,23,5,12,35,13,30
3,4,4,2,0,6893.0,21,3,2019,5,5,10,5,5,0
5,2,2,0,0,7240.0,9,3,2019,9,50,12,35,2,45
4,2,2,0,0,3898.0,3,4,2019,11,40,14,30,2,50
3,1,1,0,0,4049.0,3,4,2019,6,25,7,55,1,30
10,4,4,2,1,8372.0,15,6,2019,17,30,12,35,19,5
1,0,0,0,2,3332.0,21,3,2019,8,20,10,35,2,15
10,3,3,2,1,8372.0,9,6,2019,21,10,12,0,14,50
10,2,2,0,0,7229.0,24,3,2019,19,55,22,35,2,40
10,3,3,2,0,8372.0,6,5,2019,6,30,4,40,22,10
3,4,4,2,0,5894.0,27,6,2019,11,25,21,0,9,35
8,4,4,2,0,8372.0,18,5,2019,9,0,19,0,10,0
10,2,2,2,1,8372.0,6,3,2019,14,5,11,25,21,20
3,4,4,2,0,5636.0,24,6,2019,2,0,7,25,5,25
10,4,4,1,0,8372.0,6,6,2019,9,40,4,25,18,45
10,3,3,2,1,7064.0,1,4,2019,8,25,20,45,12,20
10,3,3,2,1,8372.0,24,5,2019,20,25,14,25,18,0
8,4,4,2,0,8372.0,27,5,2019,13,15,22,30,9,15
8,4,4,2,0,8372.0,6,3,2019,2,15,13,20,11,5
10,2,2,2,0,8372.0,12,3,2019,16,55,10,25,17,30
7,4,4,1,0,8372.0,6,3,2019,5,55,19,15,13,20
7,3,3,0,0,4880.0,21,4,2019,20,45,23,20,2,35
3,0,0,0,0,3540.0,21,6,2019,5,15,7,40,2,25
1,2,2,0,2,3257.0,15,5,2019,5,55,8,35,2,40
10,2,2,0,1,6478.0,3,6,2019,19,50,22,50,3,0
10,1,1,0,0,8040.0,18,6,2019,7,5,8,30,1,25
10,4,4,1,0,8372.0,12,6,2019,20,0,12,35,16,35
10,3,3,2,0,8372.0,15,5,2019,8,25,20,45,12,20
10,3,3,2,0,8372.0,9,6,2019,20,0,8,15,12,15
10,4,4,2,1,8372.0,24,6,2019,20,55,4,25,7,30
7,3,3,2,0,6528.0,12,5,2019,14,35,14,35,24,0
7,2,2,0,0,6121.0,1,5,2019,6,10,8,55,2,45
10,4,4,1,1,8372.0,18,5,2019,19,30,4,25,8,55
8,4,4,2,0,8372.0,27,3,2019,11,40,18,50,7,10
8,4,4,2,0,7574.0,27,3,2019,4,45,19,15,14,30
7,4,4,1,0,8372.0,9,5,2019,12,55,19,15,30,20
10,4,4,1,0,8372.0,24,5,2019,23,5,19,0,19,55
10,2,2,2,0,8372.0,18,3,2019,14,5,5,5,15,0
3,2,2,0,0,5780.0,12,4,2019,18,55,21,50,2,55
5,3,3,2,0,8372.0,12,5,2019,20,20,9,5,12,45
10,4,4,2,0,8372.0,6,3,2019,18,15,4,25,10,10
4,4,4,2,0,5281.0,27,6,2019,7,0,12,55,5,55
8,4,4,2,0,8372.0,18,5,2019,7,5,22,30,15,25
7,4,4,2,0,8372.0,6,3,2019,17,20,9,25,16,5
8,4,4,2,0,8372.0,3,3,2019,15,25,1,35,10,10
5,2,2,0,0,4668.0,12,6,2019,7,0,9,40,2,40
10,4,4,2,0,8372.0,9,5,2019,7,5,19,0,11,55
1,2,2,0,0,3971.0,9,4,2019,5,55,8,35,2,40
7,1,1,0,0,3100.0,3,5,2019,15,0,16,25,1,25
10,3,3,2,1,8372.0,6,5,2019,20,0,10,5,14,5
7,4,4,2,0,8372.0,1,3,2019,23,0,19,15,20,15
3,0,0,0,0,3540.0,12,5,2019,5,15,7,40,2,25
7,3,3,1,0,8372.0,21,5,2019,12,0,11,10,23,10
10,3,3,2,0,8372.0,12,6,2019,14,5,8,15,18,10
10,3,3,2,0,8372.0,6,5,2019,20,0,12,0,16,0
3,2,2,0,0,3943.0,24,6,2019,4,0,6,50,2,50
3,0,0,0,0,3597.0,3,6,2019,14,45,17,5,2,20
7,2,2,2,0,5932.0,21,3,2019,11,50,19,50,8,0
10,4,4,2,1,8372.0,15,6,2019,11,30,4,25,16,55
5,4,4,0,0,6216.0,12,5,2019,14,40,17,50,3,10
3,3,3,0,0,4804.0,15,6,2019,20,25,23,10,2,45
8,4,4,2,0,8372.0,21,5,2019,11,30,1,30,14,0
10,4,4,1,0,8372.0,18,5,2019,19,10,19,0,23,50
10,4,4,1,0,8372.0,6,6,2019,6,45,4,25,21,40
7,4,4,1,0,8372.0,27,6,2019,22,0,19,15,21,15
10,2,2,0,1,4030.0,24,5,2019,6,0,8,45,2,45
10,4,4,2,0,8372.0,3,3,2019,8,0,18,50,10,50
8,4,4,2,0,8372.0,9,4,2019,17,30,1,30,8,0
4,3,3,2,0,6686.0,6,6,2019,23,30,7,45,8,15
3,4,4,2,0,5636.0,15,6,2019,2,0,7,25,5,25
3,4,4,2,0,6442.0,9,6,2019,7,35,16,10,8,35
8,4,4,2,0,8372.0,21,5,2019,13,5,0,55,11,50
10,3,3,2,1,8372.0,21,5,2019,20,0,23,35,27,35
10,4,4,1,1,8372.0,3,6,2019,20,0,4,25,8,25
7,4,4,2,0,5117.0,3,4,2019,12,30,9,25,20,55
3,4,4,2,0,6147.0,24,6,2019,15,10,20,0,4,50
8,4,4,2,0,7005.0,9,6,2019,12,50,21,0,8,10
1,3,3,0,0,3873.0,3,4,2019,22,20,0,40,2,20
10,4,4,1,1,8372.0,21,3,2019,18,25,18,50,24,25
4,2,2,0,0,3898.0,27,6,2019,11,40,14,30,2,50
10,3,3,2,0,8372.0,12,5,2019,8,25,20,45,12,20
10,3,3,2,1,8372.0,24,5,2019,20,0,8,15,12,15
7,3,3,1,0,8372.0,9,5,2019,8,20,7,55,23,35
10,4,4,1,0,8372.0,27,6,2019,20,0,12,35,16,35
3,2,2,0,0,8372.0,3,3,2019,18,55,21,45,2,50
10,3,3,2,1,8372.0,12,5,2019,16,30,18,15,25,45
10,4,4,2,0,8372.0,6,3,2019,2,15,4,25,26,10
10,3,3,2,1,8372.0,1,5,2019,9,35,14,25,28,50
3,2,2,0,0,4777.0,24,3,2019,0,40,3,25,2,45
7,3,3,2,0,7662.0,9,6,2019,12,0,13,15,25,15
3,4,4,2,0,6442.0,9,5,2019,6,50,16,10,9,20
1,4,4,2,0,5264.0,12,6,2019,8,45,13,15,4,30
10,4,4,2,1,8372.0,27,5,2019,13,0,4,25,15,25
7,1,1,0,0,6092.0,3,3,2019,13,55,15,25,1,30
1,2,2,0,0,3311.0,21,5,2019,5,55,8,35,2,40
10,4,4,2,1,6540.0,27,3,2019,19,15,4,25,9,10
3,2,2,0,0,3419.0,27,5,2019,1,30,4,15,2,45
10,4,4,2,1,5177.0,3,4,2019,14,0,12,35,22,35
7,4,4,0,0,8246.0,18,4,2019,18,5,21,10,3,5
10,3,3,2,0,8372.0,9,6,2019,9,35,21,5,11,30
8,4,4,2,0,8372.0,27,6,2019,11,30,21,0,9,30
10,3,3,2,1,8372.0,6,5,2019,21,10,9,20,12,10
10,3,3,2,0,8372.0,12,6,2019,16,30,10,5,17,35
3,4,4,2,0,5073.0,3,4,2019,20,25,1,30,5,5
5,3,3,2,0,8372.0,21,5,2019,17,0,18,50,25,50
10,3,3,2,1,8372.0,6,5,2019,14,5,10,5,20,0
8,4,4,2,0,8372.0,21,5,2019,8,0,21,0,13,0
10,4,4,2,1,8372.0,1,6,2019,10,0,4,25,18,25
10,1,1,0,0,5678.0,27,3,2019,19,35,21,5,1,30
8,4,4,2,0,8372.0,15,5,2019,16,0,1,30,9,30
10,3,3,2,1,8372.0,6,5,2019,20,0,12,0,16,0
3,0,0,0,0,3858.0,12,5,2019,14,45,17,5,2,20
1,4,4,2,0,4812.0,24,6,2019,8,45,13,15,4,30
3,4,4,2,0,5775.0,27,6,2019,21,50,3,35,5,45
10,3,3,2,1,8372.0,6,6,2019,9,35,9,45,24,10
3,3,3,0,0,4804.0,3,6,2019,15,30,18,5,2,35
2,2,2,0,0,3383.0,12,6,2019,11,10,13,55,2,45
3,2,2,2,0,8372.0,3,3,2019,12,10,17,5,4,55
7,4,4,2,0,7165.0,27,3,2019,5,15,6,50,25,35
3,4,4,2,0,6412.0,24,6,2019,16,10,22,30,6,20
10,2,2,0,0,8016.0,27,6,2019,18,55,22,0,3,5
10,2,2,2,1,8372.0,12,3,2019,20,35,15,15,18,40
1,0,0,0,2,3543.0,27,6,2019,9,45,12,0,2,15
10,3,3,2,0,8372.0,12,6,2019,16,30,4,40,12,10
10,4,4,2,1,8372.0,24,6,2019,9,0,4,25,19,25
7,2,2,0,0,4441.0,18,3,2019,13,20,16,10,2,50
8,4,4,2,0,8372.0,27,3,2019,7,5,15,30,8,25
4,3,3,2,0,8372.0,24,3,2019,22,25,7,40,9,15
7,2,2,0,0,6961.0,3,6,2019,21,5,23,55,2,50
3,4,4,0,0,5013.0,24,4,2019,5,35,8,50,3,15
7,4,4,0,0,6934.0,18,5,2019,5,10,8,0,2,50
8,4,4,2,0,8372.0,3,6,2019,6,40,19,0,12,20
10,2,2,0,0,7229.0,18,4,2019,15,15,18,10,2,55
3,4,4,2,0,7048.0,27,3,2019,16,0,1,35,9,35
5,2,2,0,0,4878.0,27,6,2019,17,0,19,35,2,35
10,3,3,2,1,8372.0,21,5,2019,14,5,23,35,9,30
10,4,4,1,0,8372.0,18,5,2019,23,5,4,25,29,20
3,2,2,0,0,3943.0,12,5,2019,0,30,3,25,2,55
1,4,4,2,0,5583.0,6,6,2019,6,5,11,20,5,15
8,4,4,2,0,8372.0,6,6,2019,7,5,16,10,9,5
8,4,4,2,0,7677.0,3,6,2019,8,30,19,15,10,45
3,4,4,2,0,6842.0,1,6,2019,5,10,10,5,4,55
10,1,1,0,1,4995.0,24,6,2019,8,45,10,15,1,30
5,3,3,2,0,8372.0,9,6,2019,7,10,18,50,11,40
3,2,2,0,0,4077.0,1,6,2019,1,30,4,15,2,45
10,2,2,0,0,7229.0,12,5,2019,15,15,18,10,2,55
8,4,4,2,0,8372.0,9,6,2019,9,0,19,0,10,0
7,2,2,0,0,5911.0,12,4,2019,10,0,12,45,2,45
7,4,4,2,0,8372.0,12,6,2019,9,0,19,15,10,15
10,1,1,0,1,4995.0,18,3,2019,7,10,8,35,1,25
8,4,4,2,0,8372.0,9,5,2019,10,0,19,15,9,15
10,4,4,1,0,8372.0,9,6,2019,5,30,4,25,22,55
7,4,4,1,0,8372.0,6,6,2019,14,25,19,15,28,50
10,4,4,1,0,8372.0,3,3,2019,5,25,18,50,37,25
3,2,2,0,0,3943.0,27,4,2019,23,30,2,20,2,50
1,1,1,0,2,1965.0,21,5,2019,5,45,7,15,1,30
10,1,1,0,1,4995.0,27,5,2019,10,20,11,50,1,30
7,3,3,2,0,8372.0,24,3,2019,16,50,18,30,25,40
7,3,3,0,0,4460.0,12,4,2019,20,45,23,20,2,35
7,4,4,2,0,8372.0,18,5,2019,13,0,19,15,6,15
10,4,4,2,1,8372.0,9,3,2019,2,15,19,45,17,30
3,4,4,2,0,6349.0,1,5,2019,21,50,3,35,5,45
2,3,3,0,0,4409.0,1,5,2019,10,20,12,55,2,35
10,4,4,2,0,8372.0,6,3,2019,18,15,19,45,25,30
8,4,4,2,0,8372.0,18,5,2019,7,5,21,0,13,55
3,2,2,0,0,8372.0,15,3,2019,18,25,21,20,2,55
8,4,4,2,0,8372.0,24,6,2019,8,45,19,0,10,15
10,2,2,2,0,8372.0,18,3,2019,11,40,20,20,8,40
10,3,3,2,1,8372.0,6,6,2019,6,30,12,0,5,30
8,4,4,2,0,8372.0,9,6,2019,9,0,21,0,12,0
1,0,0,0,2,3543.0,12,6,2019,9,45,12,0,2,15
5,0,0,0,0,4842.0,18,3,2019,7,5,9,20,2,15
3,2,2,0,0,3943.0,24,4,2019,23,30,2,20,2,50
10,4,4,2,1,8372.0,9,6,2019,19,15,4,25,9,10
3,4,4,2,0,6979.0,15,5,2019,10,35,21,0,10,25
5,0,0,0,0,8372.0,27,6,2019,17,45,20,5,2,20
1,4,4,2,0,5264.0,6,6,2019,8,45,13,15,4,30
5,4,4,0,0,8001.0,3,3,2019,6,0,9,10,3,10
7,4,4,1,0,8372.0,1,6,2019,19,45,19,15,23,30
10,3,3,2,1,8372.0,24,5,2019,16,30,19,50,27,20
8,4,4,2,0,6601.0,27,3,2019,9,45,22,20,12,35
7,4,4,2,0,6587.0,21,3,2019,19,0,19,15,24,15
1,1,1,0,0,3173.0,21,3,2019,13,10,14,30,1,20
7,2,2,0,0,5228.0,9,5,2019,10,0,12,45,2,45
